Title,Email,Website,Phone,Postal Code,Address,Longitude,Latitude,Status,Note
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Westcoast Kids - Winnipeg,,www.westcoastkids.ca,(204) 942-1237,R3B 1K6,"103 Princess Street, Winnipeg, Manitoba, R3B 1K6",,,,
Westcoast Kids - Calgary,,www.westcoastkids.ca,(403) 258-2332,T2H 0R9,"130-71 Ave. S.E. , Calgary, Alberta, T2H 0R9",,,,
Westcoast Kids - Richmond,,www.westcoastkids.ca,(604) 288-1168,V6V 1J4,"12411 Bridgeport Road, Richmond, BC, V6V 1J4",,,,
Bush Babies,,http://www.bushbabiesboutique.com/,(705) 476-6555,P1B 9E4,"555 Mckeown Ave, North Bay, Ontario, P1B 9E4",,,,
Rattle & Stroll,,www.rattleandstroll.ca/,(905) 337-0734,L6K 3B5,"310 Kerr Street, Oakville, Ontario, L6K 3B5",,,,
Paramount Boutique,,,(306) 242-5655,S7K 1K8,"249 2nd Ave South, Saskatoon, Saskatchewan, S7K 1K8",,,,
Sweetheart Diapers & More,,www.sweetheartdiapers.com,(519) 800-3963,N8Y 1H7,"4782 Wyandotte St. E, Windsor, Ontario, N8Y 1H7",,,,
Kidzz Den,,,(613) 735-8965,K8A 7T1,"West End Mall 1200 Pembroke St West, Pembroke, Ontario, K8A 7T1",,,,
Everything Baby,,http://www.everythingbaby.ca/,(250) 614-2255,V2M 3B7,"Unit#102-770 Central St East, Prince George, BC, V2M 3B7",,,,
La Crete Apple Drugs,,,(780) 928-3055,T0H 2H0,"Box 867 10603 100th Street, La Crete, Alberta, T0H 2H0",,,,
