ID,Title,Email,Website,Phone,Postal Code,Address,Country,Longitude,Latitude,Status,Note
,Clement BEAUPORT - PROMENADES BEAUPORT,,www.clement.ca,(418) 780-1700,G1C 5R9,"3333, rue du Carrefour, Québec, QC  G1C 5R9, Canada",Canada,,,,
,Clement LÉVIS - GALERIES CHAGNON,,www.clement.ca,(418) 833-2686,G6V 6Y8,"1200, boul. Alphonse-Desjardins, Québec, QC  G6V 6Y8, Canada",Canada,,,,
,Clement CENTRE PIERRE-BERTRAND,,www.clement.ca,(418) 623-0531,G2J 1B7,"5830, boul. Pierre-Bertrand,  Québec, QC G2J 1B7, Canada",Canada,,,,
,Clement GALERIES DE LA CAPITALE,,www.clement.ca,(418) 627-3472,G2K 1N4,"5401, boul. Des Galeries, Québec, QC  G2K 1N4, Canada",Canada,,,,
,Clement SAINTE-FOY - LAURIER QUÉBEC,,www.clement.ca,(418) 656-9292,G1V 4J9,"2700, boul. Laurier, Québec, QC  G1V 4J9, Canada",Canada,,,,
,Clement SAINTE-FOY - PLACE STE-FOY,,www.clement.ca,(418) 653-9363,G1V 2L1  ,"2450, boul. Laurier, Québec, QC  G1V 2L1, Canada  ",Canada,,,,
,Clement BOUCHERVILLE,,www.clement.ca,(450) 641-3305,J4B 5E4,"615, rue de Touraine, Boucherville, QC  J4B 5E4, Canada",Canada,,,,
,Clement DIX30 - BROSSARD,,www.clement.ca,(450) 657-1082,J4Y 0G6,"8680, boulevard Leduc (#20),  Brossard, QC  J4Y 0G6, Canada",Canada,,,,
,Clement LAVAL - CENTROPOLIS,,www.clement.ca,(450) 682-6660,H7T 1H8,"1955, boul. Daniel-Johnson, Laval, QC  H7T 1H8, Canada ",Canada,,,,
,Clement MONTRÉAL - MARCHÉ CENTRAL,,www.clement.ca,(514) 334-4727,H4N 3K1,"9193, boul. de l'Acadie, Montréal, QC  H4N 3K1, Canada",Canada,,,,
,Clement ROSEMÈRE - PLACE ROSEMÈRE,,www.clement.ca,(450) 437-7365,J7A 3T2,"401, boul. Labelle, Rosemère, QC  J7A 3T2, Canada",Canada,,,,
,Clement SAINT-BRUNO,,www.clement.ca,(450) 441-0202,J3V 6P3,"1250, boul. des Promenades, St-Bruno, QC  J3V 6P3, Canada",Canada,,,,
,Clement SAINTE-DOROTHÉE,,www.clement.ca,(450) 689-1200,H7X 4C9,"1180, autoroute Chomedey, Laval, QC  H7X 4C9, Canada",Canada,,,,
,Clement SAINT- GALERIES ST-HYACINTHE,,www.clement.ca,(450) 488-0124,J2S 4Z5,"3200, boul. Laframboise, Saint-Hyacinthe, QC  J2S 4Z5, Canada",Canada,,,,
,Clement VAUDREUIL,,www.clement.ca,(450) 424-4303,J7V 8W5,"3202, boul. de la Gare, Vaudreuil-Dorion, QC  J7V 8W5, Canada",Canada,,,,
,Clement CHICOUTIMI - PLACE DU SAGUENAY,,www.clement.ca,(418) 693-0043,G7H 4B8,"1324, boul. Talbot, Chicoutimi, QC  G7H 4B8, Canada",Canada,,,,
,Clement DRUMMONDVILLE,,www.clement.ca,(819) 472-6733,J2C 0J2,"860, rue Hains, Drummondville, QC  J2C 0J2, Canada",Canada,,,,
,Clement GATINEAU - PROMENADES DE L'OUTAOUAIS,,www.clement.ca,(819) 246-4299,J8T 6G3,"1100, boul. Maloney Ouest, Gatineau, QC  J8T 6G3, Canada",Canada,,,,
,Clement HULL,,www.clement.ca,(819) 772-2151,J9A 3G3,"75, boul. du Plateau,  Gatineau, QC  J9A 3G3, Canada",Canada,,,,
,Clement RIMOUSKI,,www.clement.ca,(418) 725-5207,G5M 1Y1,"417, Montée Industrielle, Rimouski, QC  G5M 1Y1, Canada",Canada,,,,
,Clement RIVIÈRE-DU-LOUP,,www.clement.ca,(418) 867-5429,G5R 4C2,"298, boul. Armand-Thériault,  Rivière-du-Loup, QC  G5R 4C2, Canada",Canada,,,,
,Clement SAINT-GEORGES - CARREFOUR ST-GEORGES,,www.clement.ca,(418) 228-1491,G5Y 5L6,"8585, boul. Lacroix,  Saint-Georges de Beauce, QC  G5Y 5L6, Canada",Canada,,,,
,Clement SEPT-ÎLES - GALERIES MONTAGNAISES,,www.clement.ca,(418) 962-2099,G4R 4S6,"1005, boul. Laure,  Sept-Îles, QC  G4R 4S6, Canada ",Canada,,,,
,Clement SHERBROOKE,,www.clement.ca,(819) 564-7881,J1L 2Y7,"2945 boulevard De Portland,  Sherbrooke, QC  J1L 2Y7, Canada",Canada,,,,
,Clement VICTORIAVILLE,,www.clement.ca,(819) 752-3671,G6P 7H4,"625, boul. Jutras Est,  Victoriaville, QC  G6P 7H4, Canada",Canada,,,,
,Clement TROIS-RIVIÈRES - CENTRE LES RIVIÈRES,,www.clement.ca,(819) 752-3671,G8Y 1W1,"4125, boul. des Forges,  Trois-Rivières, QC  G8Y 1W1, Canada",Canada,,,,
,Clement LACHENAIE,,www.clement.ca,(450) 657-1082,J6V 1S6,"220, Montée des Pionniers,  Terrebonne, QC  J6V 1S6, Canada",Canada,,,,
,Clement LAVAL - CENTROPOLIS,,www.clement.ca,(450) 682-6660,H7T 1H8,"1955, boul. Daniel-Johnson,  Laval, QC  H7T 1H8, Canada",Canada,,,,
,Clement VAUDREUIL,,www.clement.ca,(450) 424-4303,J7V 8W5,"3202, boul. de la Gare,  Vaudreuil-Dorion, QC  J7V 8W5, Canada",Canada,,,,
