ID,Title,Email,Website,Phone,Postal Code,Address,Longitude,Latitude,Status,Note
,Safety Super Store,kjaworski@safetysuperstore.com,,(905) 828-7233,L5L 5R8,"7 - 3425 Laird Road, Mississauga, Ontario, L5L 5R8, CA",,,,
,Mastermind Toys - East Gwillimbury,,,(905) 895-6565,L9N 0A2,"18267 Yonge St, East Gwillimbury, Ontario, L9N 0A2, CA",,,,
,Mastermind Toys - Vaughan,,,(905) 264-3143,L4L 9H4,"7621 Weston Rd, Woodbridge, Ontario, L4L 9H4, CA",,,,
,Mastermind Toys - London,,,(519) 641-8697,N6G 4J3,"685 Fanshawe Park Road West, London, Ontario, N6G 4J3, CA",,,,
,Mastermind Toys - Burlington,,,(905) 631-6160,L7R 4X6,"1035 Brant St, Burlington, Ontario, L7R 4X6, CA",,,,
,Mastermind Toys - North Toronto,,,(416) 487-7177,M4N 2M7,"3350 Yonge St., Toronto, Ontario, M4N 2M7, CA",,,,
,Mastermind Toys - Etobicoke,,,(416) 239-1600,M8X 1Y6,"4242 Dundas St W, Etobicoke Ontario, M8X 1Y6, CA",,,,
,Mastermind Toys - Oakville,,,(905) 338-7779,L6H 4L2,"1011 Upper Middle Road East, Oakville, Ontario, L6H 4L2, CA",,,,
,Mastermind Toys - Leaside  / Davisville,,,(416) 440-0111,M4S 2M9,"639 Mt. Pleasant Rd., Toronto, Ontario, M4S 2M9, CA",,,,
,Mastermind Toys - Markham,,,(905) 294-9095,L3P 1W9,"8555 McCowan Rd., Markham, Ontario, L3P 1W9, CA",,,,
,Mastermind Toys - Richmond Hill,,,(905) 508-5001, L4C 5T2,"9350 Yonge St., Richmond Hill, Ontario,  L4C 5T2, CA",,,,
,Mastermind Toys - Mississauga,,,(905) 569-1010,L5L 3P9,"4099 Erin Mills Pkwy., Mississauga, Ontario, L5L 3P9, CA",,,,
,Mastermind Toys - Aurora,,,(905) 841-9119,L4G 7N2,"650 Wellington St E, Aurora, Ontario, L4G 7N2, CA",,,,
,Mastermind Toys - Pickering,,,(905) 831-6287 ,L1V 1B8,"1355 Kingston Rd., Pickering, Ontario, L1V 1B8, CA",,,,
,Mastermind Toys - The Beach,,,(416) 699-3797,M4E 1E3,"2134 Queen St. East, Toronto, Ontario, M4E 1E3, CA",,,,
,Mastermind Toys - Ontario Science Centre,,,(416) 422-0434,M3C 1T3,"770 Don Mills Rd, Toronto, Ontario, M3C 1T3, CA",,,,
