"Invoice Number","PO Number","Order Date","Order Total"
250000745,QL55292,01-04-2013,240.0000
250000924,SN40360,02-12-2013,80.0000
250000923,SN37732,02-12-2013,880.0000
250003943,AD56368,02-19-2014,214.0000
250004236,ZK24319,04-07-2014,162.0000
250004235,ZB61864,04-07-2014,480.0000
250004296,BG25564,04-16-2014,80.0000
250002201,VE34352,05-20-2013,160.0000
250004492,YU21615,05-22-2014,720.0000
250004493,ZA33675,05-22-2014,162.0000
250002431,VK88553,06-03-2013,400.0000
250002535,VT81082,06-19-2013,80.0000
250002558,VV47422,06-24-2013,80.0000
250000181,PS91856,08-15-2012,20.0000
250005121,FA42453,08-21-2014,160.0000
250005269,FL16670,09-10-2014,240.0000
250000267,QH10945,09-19-2012,20.0000
250005384,FQ94160,09-19-2014,2560.0000
250005413,FP00698,09-23-2014,80.0000
250005414,FP00698,09-23-2014,80.0000
250005415,FP00698,09-23-2014,80.0000
250005551,FU68528,09-29-2014,160.0000
250003182,XX70203,10-14-2013,80.0000
250000601,RG20727,11-22-2012,160.0000
250000611,RF93881,11-27-2012,80.0000
250003521,YR41183,12-02-2013,216.0000
250003613,YR41183,12-12-2013,162.0000
,,Total,7836
