"Invoice Number","PO Number","Order Date","Order Total"
250006032,5601218918,10-22-2014,6960.0000
250006040,9501218918,10-22-2014,3520.0000
250006039,8801218918,10-22-2014,5360.0000
250006038,8301218918,10-22-2014,4240.0000
250006037,7701218918,10-22-2014,3760.0000
250006036,6301218918,10-22-2014,6400.0000
250006035,6201218918,10-22-2014,8800.0000
250006034,6001218918,10-22-2014,5600.0000
250006033,5801218918,10-22-2014,3840.0000
250006134,8801226285,11-05-2014,880.0000
250006133,8301226285,11-05-2014,1360.0000
250006132,7701226285,11-05-2014,3920.0000
250006131,5601226285,11-05-2014,800.0000
250006138,6201228088,11-06-2014,6000.0000
250006249,5601233928,11-18-2014,3040.0000
250006250,6001233928,11-18-2014,1440.0000
250006251,7701233928,11-18-2014,2880.0000
250006252,8301233928,11-18-2014,1440.0000
250006253,8801233928,11-18-2014,2560.0000
250006254,9501233928,11-18-2014,960.0000
,,Total,73760
