"Invoice Number","PO Number","Order Date","Order Total"
250001146,1040688306,03-11-2013,20.0000
250001156,1040764770,03-11-2013,20.0000
250001155,1040757493,03-11-2013,20.0000
250001154,1040752535,03-11-2013,20.0000
250001152,1040749773,03-11-2013,20.0000
250001150,1040749267,03-11-2013,20.0000
250001149,1040734401,03-11-2013,20.0000
250001148,1040701987,03-11-2013,20.0000
250001147,1040699753,03-11-2013,20.0000
250001175,1040862444,03-12-2013,20.0000
250001174,1040872953,03-12-2013,20.0000
250001173,1040885392,03-12-2013,20.0000
250001172,1040888633,03-12-2013,20.0000
250001171,1040892815,03-12-2013,20.0000
250001161,1040833415,03-12-2013,20.0000
250001160,1040833907,03-12-2013,20.0000
250001159,1040832083,03-12-2013,20.0000
250001158,1040815773,03-12-2013,20.0000
250001157,1040779152,03-12-2013,20.0000
250001187,1040928308,03-13-2013,20.0000
250001186,1040929049,03-13-2013,20.0000
250001185,1040929492,03-13-2013,20.0000
250001184,1040930803,03-13-2013,20.0000
250001183,1040945430,03-13-2013,20.0000
250001176,1040847760,03-13-2013,20.0000
250001193,1040903966,03-14-2013,20.0000
250001191,1040927688,03-14-2013,20.0000
250001190,1040921437,03-14-2013,20.0000
250001210,1041058742,03-15-2013,20.0000
250001205,1040957696,03-15-2013,20.0000
250001203,1040949828,03-15-2013,20.0000
250001202,1040957870,03-15-2013,20.0000
250001201,1040959272,03-15-2013,20.0000
250001200,1040964765,03-15-2013,20.0000
250001199,1040971618,03-15-2013,20.0000
250001198,1040996020,03-15-2013,20.0000
250001197,1041001042,03-15-2013,20.0000
250001214,1041065433,03-16-2013,20.0000
250001213,1041071909,03-16-2013,20.0000
250001212,1041061698,03-16-2013,20.0000
250001211,1041021175,03-16-2013,20.0000
250005214,7777-6500662-0021,09-02-2014,3654.0000
250005213,7777-6500660-9478,09-02-2014,1680.0000
250005221,7777-6508652-0021,09-03-2014,54.0000
250005264,7777-6519788-0021,09-09-2014,1894.0000
250005265,7777-6519802-9478,09-09-2014,934.0000
250003007,7777-6069251-0021,09-10-2013,2880.0000
250003006,7777-6069266-9478,09-10-2013,1920.0000
250005377,7777-6535909-0021,09-18-2014,5600.0000
250005378,7777-6535910-9478,09-18-2014,2560.0000
250005563,7777-6559235-9478,10-01-2014,1600.0000
250005564,7777-6559244-0021,10-01-2014,3440.0000
,,Total,27036
