"Invoice Number","PO Number","Order Date","Order Total"
250004933,0030-8735529-3809,07-16-2014,720.0000
250005547,0030-6670901-3809,09-27-2014,80.0000
250005620,0030-9412903-3808,10-06-2014,240.0000
250005634,0030-5241218-3804,10-09-2014,54.0000
250005648,0030-5741958-3808,10-09-2014,80.0000
250006022,0030-5514381-3811,10-20-2014,320.0000
250006018,0030-5514381-3804,10-20-2014,3040.0000
250006016,0030-5514381-3802,10-20-2014,320.0000
250006008,0030-5514381-0560,10-20-2014,240.0000
250006001,0030-5472561-0588,10-20-2014,1120.0000
250006076,0030-9446227-0587,10-27-2014,160.0000
250006078,0030-9446227-0590,10-27-2014,240.0000
250006080,0030-9446227-0594,10-27-2014,240.0000
250006081,0030-9446227-3801,10-27-2014,480.0000
250006082,0030-9446227-3803,10-27-2014,720.0000
250006084,0030-9446227-3808,10-27-2014,80.0000
250006085,0030-9446227-3811,10-27-2014,80.0000
250006075,0030-9446227-0580,10-27-2014,320.0000
250006074,0030-9446227-0579,10-27-2014,320.0000
250006063,0030-1857576-3804,10-27-2014,1760.0000
250006064,0030-9446227-0551,10-27-2014,80.0000
250006068,0030-9446227-0556,10-27-2014,80.0000
250006069,0030-9446227-0557,10-27-2014,320.0000
250006071,0030-9446227-0559,10-27-2014,560.0000
250006072,0030-9446227-0560,10-27-2014,400.0000
250006073,0030-9446227-0578,10-27-2014,800.0000
250006117,0030-4892236-0590,11-04-2014,560.0000
250006118,0030-4892236-0593,11-04-2014,560.0000
250006119,0030-4892236-0594,11-04-2014,480.0000
250006120,0030-4892236-3801,11-04-2014,640.0000
250006121,0030-4892236-3802,11-04-2014,400.0000
250006122,0030-4892236-3803,11-04-2014,1040.0000
250006123,0030-4892236-3804,11-04-2014,1440.0000
250006124,0030-4892236-3806,11-04-2014,320.0000
250006125,0030-4892236-3808,11-04-2014,480.0000
250006126,0030-4892236-3809,11-04-2014,80.0000
250006127,0030-4892236-3811,11-04-2014,480.0000
250006128,0030-5481516-0588,11-04-2014,1840.0000
250006129,0030-5481516-3804,11-04-2014,3680.0000
250006116,0030-4892236-0589,11-04-2014,560.0000
250006115,0030-4892236-0588,11-04-2014,880.0000
250006102,0030-4892236-0551,11-04-2014,320.0000
250006103,0030-4892236-0553,11-04-2014,320.0000
250006104,0030-4892236-0554,11-04-2014,320.0000
250006105,0030-4892236-0555,11-04-2014,400.0000
250006106,0030-4892236-0556,11-04-2014,640.0000
250006107,0030-4892236-0557,11-04-2014,160.0000
250006108,0030-4892236-0558,11-04-2014,640.0000
250006109,0030-4892236-0559,11-04-2014,720.0000
250006114,0030-4892236-0587,11-04-2014,320.0000
250006113,0030-4892236-0580,11-04-2014,400.0000
250006112,0030-4892236-0579,11-04-2014,480.0000
250006111,0030-4892236-0578,11-04-2014,560.0000
250006110,0030-4892236-0560,11-04-2014,240.0000
250006169,0030-3843271-0590,11-11-2014,320.0000
250006170,0030-3843271-0593,11-11-2014,960.0000
250006171,0030-3843271-0594,11-11-2014,800.0000
250006172,0030-3843271-3801,11-11-2014,1200.0000
250006173,0030-3843271-3802,11-11-2014,160.0000
250006174,0030-3843271-3803,11-11-2014,960.0000
250006175,0030-3843271-3804,11-11-2014,1600.0000
250006176,0030-3843271-3806,11-11-2014,1760.0000
250006177,0030-3843271-3808,11-11-2014,240.0000
250006178,0030-3843271-3811,11-11-2014,160.0000
250006179,0030-7937841-3804,11-11-2014,6294.0000
250006168,0030-3843271-0589,11-11-2014,80.0000
250006167,0030-3843271-0588,11-11-2014,1440.0000
250006166,0030-3843271-0580,11-11-2014,1200.0000
250006155,0030-3843271-0551,11-11-2014,240.0000
250006156,0030-3843271-0553,11-11-2014,720.0000
250006157,0030-3843271-0554,11-11-2014,480.0000
250006158,0030-3843271-0555,11-11-2014,1040.0000
250006159,0030-3843271-0556,11-11-2014,720.0000
250006160,0030-3843271-0557,11-11-2014,400.0000
250006161,0030-3843271-0558,11-11-2014,960.0000
250006162,0030-3843271-0559,11-11-2014,560.0000
250006163,0030-3843271-0560,11-11-2014,720.0000
250006164,0030-3843271-0578,11-11-2014,2240.0000
250006165,0030-3843271-0579,11-11-2014,320.0000
250006240,0030-1390493-3801,11-18-2014,720.0000
250006239,0030-1390493-0594,11-18-2014,400.0000
250006238,0030-1390493-0593,11-18-2014,1040.0000
250006237,0030-1390493-0590,11-18-2014,720.0000
250006241,0030-1390493-3802,11-18-2014,160.0000
250006242,0030-1390493-3803,11-18-2014,640.0000
250006243,0030-1390493-3804,11-18-2014,10694.0000
250006244,0030-1390493-3806,11-18-2014,400.0000
250006245,0030-1390493-3808,11-18-2014,240.0000
250006246,0030-1390493-3811,11-18-2014,240.0000
250006236,0030-1390493-0588,11-18-2014,1440.0000
250006235,0030-1390493-0587,11-18-2014,80.0000
250006234,0030-1390493-0580,11-18-2014,800.0000
250006224,0030-1390493-0551,11-18-2014,240.0000
250006225,0030-1390493-0553,11-18-2014,880.0000
250006226,0030-1390493-0554,11-18-2014,480.0000
250006227,0030-1390493-0555,11-18-2014,400.0000
250006228,0030-1390493-0556,11-18-2014,320.0000
250006229,0030-1390493-0557,11-18-2014,320.0000
250006230,0030-1390493-0558,11-18-2014,400.0000
250006231,0030-1390493-0559,11-18-2014,800.0000
250006232,0030-1390493-0560,11-18-2014,400.0000
250006233,0030-1390493-0578,11-18-2014,800.0000
250006275,0030-2574256-0593,11-21-2014,240.0000
250006276,0030-2574256-0594,11-21-2014,80.0000
250006277,0030-2574256-3801,11-21-2014,160.0000
250006278,0030-2574256-3802,11-21-2014,240.0000
250006279,0030-2574256-3804,11-21-2014,320.0000
250006280,0030-2574256-3806,11-21-2014,560.0000
250006281,0030-2574256-3811,11-21-2014,80.0000
250006274,0030-2574256-0589,11-21-2014,240.0000
250006273,0030-2574256-0588,11-21-2014,160.0000
250006266,0030-2574256-0554,11-21-2014,160.0000
250006267,0030-2574256-0555,11-21-2014,240.0000
250006268,0030-2574256-0556,11-21-2014,80.0000
250006269,0030-2574256-0558,11-21-2014,240.0000
250006270,0030-2574256-0560,11-21-2014,320.0000
250006271,0030-2574256-0578,11-21-2014,160.0000
