"Invoice Number","Originating Order Number",Store,"Customer ID",Date,"Grand Total",Subtotal,Shipping,"Tax Amount","Discount Amount","PayPal Trans ID",Qty
200029825,200032231,Retail,1262,"Dec 29, 2014 1:35:40 PM",$0.00,$79.98,$0.00,$0.00,$79.98,,2.0000
200029824,200032229,Retail,,"Dec 29, 2014 12:09:37 PM",$86.98,$79.98,$7.00,$0.00,$0.00,5GR22133XK693031V,4.0000
250006209,250006477,Wholesale,3452,"Dec 29, 2014 11:56:53 AM",$89.10,$80.00,$9.10,$0.00,$0.00,9X1812757V7048119,5.0000
200029823,200032228,Retail,3892,"Dec 29, 2014 11:12:28 AM",$46.99,$39.99,$7.00,$0.00,$0.00,85W60197F3995345E,2.0000
200029822,200032227,Retail,,"Dec 29, 2014 10:54:17 AM",$42.99,$39.99,$7.00,$0.00,$4.00,9PD54583XL699872N,2.0000
200029821,200032226,Retail,749,"Dec 29, 2014 10:09:07 AM",$306.00,$306.00,$0.00,$0.00,$0.00,,35.0000
200029820,200032225,Retail,4678,"Dec 29, 2014 9:17:26 AM",$46.99,$39.99,$7.00,$0.00,$0.00,3BN313739B666080T,3.0000
250006208,250006476,Wholesale,2292,"Dec 29, 2014 8:24:14 AM",$89.10,$80.00,$9.10,$0.00,$0.00,7AA65945PH240763C,5.0000
200029819,200032223,Retail,,"Dec 28, 2014 3:24:42 PM",$50.19,$39.99,$7.00,$3.20,$0.00,3L8141486Y3803234,2.0000
200029818,200032222,Retail,,"Dec 28, 2014 1:54:44 PM",$46.99,$39.99,$7.00,$0.00,$0.00,8WA953928Y792215B,2.0000
200029817,200032220,Retail,,"Dec 28, 2014 11:54:47 AM",$34.99,$27.99,$7.00,$0.00,$0.00,6T3540945D294703K,2.0000
200029816,200032219,Retail,,"Dec 28, 2014 10:58:01 AM",$46.99,$39.99,$7.00,$0.00,$0.00,3XA32090RW040890J,2.0000
200029815,200032218,Retail,,"Dec 28, 2014 10:10:38 AM",$48.99,$39.99,$9.00,$0.00,$0.00,4SB10132DC610184J,2.0000
200029814,200032216,Retail,4676,"Dec 28, 2014 3:48:34 AM",$48.99,$39.99,$9.00,$0.00,$0.00,05674951TW400822M,3.0000
200029813,200032215,Retail,,"Dec 27, 2014 11:29:42 PM",$188.94,$119.94,$69.00,$0.00,$0.00,7K008952V5916342K,12.0000
200029812,200032214,Retail,,"Dec 27, 2014 6:34:35 PM",$46.99,$39.99,$7.00,$0.00,$0.00,65G27656WW137632W,2.0000
200029811,200032213,Retail,,"Dec 27, 2014 2:59:47 PM",$46.99,$39.99,$7.00,$0.00,$0.00,6DN299664L1121548,2.0000
200029810,200032212,Retail,,"Dec 27, 2014 12:52:20 PM",$53.98,$49.98,$9.00,$0.00,$5.00,9X631952Y7101135E,4.0000
200029809,200032211,Retail,,"Dec 27, 2014 7:30:37 AM",$99.97,$59.97,$40.00,$0.00,$0.00,2RC32227AR1747743,6.0000
200029808,200032210,Retail,,"Dec 27, 2014 6:01:31 AM",$46.99,$39.99,$7.00,$0.00,$0.00,3WD535295V444892R,2.0000
