email,_website,_store,confirmation,created_at,created_in,disable_auto_group_change,dob,firstname,gender,group_id,lastname,middlename,password_hash,prefix,rp_token,rp_token_created_at,store_id,suffix,taxvat,website_id,password,_address_city,_address_company,_address_country_id,_address_fax,_address_firstname,_address_lastname,_address_middlename,_address_postcode,_address_prefix,_address_region,_address_street,_address_suffix,_address_telephone,_address_vat_id,_address_default_billing_,_address_default_shipping_
supportbbb@bloomingbath.com,wholesale,wholesale,,8/9/2012 23:18:12,Admin,0,,Accounts,,2,Payable,,,,,,2,,TBD,2,,Garden City,Buy Buy Baby,US,,Corporate,Headquarters,,11530,,New Jersey,895 East Gate Boulevard,,516-507-3400,,1,1
,,,,,,,,,,,,,,,,,,,,,,Rockville,buybuyBaby #3001,US,881-3645,Receiving,Department #3001,,20852-1619,,Maryland,1683 Rockville Pike,,(301) 984-1122,,,
,,,,,,,,,,,,,,,,,,,,,,Scarsdale,buybuyBaby #3002,US,725-9093,Receiving,Department #3002,,10583,,New York,1019 Central Park Ave,,(914) 725-9220,,,
,,,,,,,,,,,,,,,,,,,,,,Paramus,buybuyBaby #3003,US,599-6516,Receiving,Department #3003,,07652-2925,,New Jersey,240 Route 17 North,,(201) 599-1900,,,
,,,,,,,,,,,,,,,,,,,,,,Huntington Station,buybuyBaby #3004,US,425-0646,Receiving,Department #3004,,11746-8704,,New York,350 Route 110,,(631) 425-0404,,,
,,,,,,,,,,,,,,,,,,,,,,Garden City,buybuyBaby #3005,US,507-3406,Receiving,Department #3005,,11530-2104,,New York,895 East Gate Blvd,,(516) 507-3400,,,
,,,,,,,,,,,,,,,,,,,,,,Totowa,buybuyBaby #3006,US,826-1002,Receiving,Department #3006,,07512-1735,,New Jersey,545 Route 46 West,,(973) 826-1010,,,
,,,,,,,,,,,,,,,,,,,,,,Secaucus,buybuyBaby #3007,US,344-1568,Receiving,Department #3007,,7094,,New Jersey,3 Enterprise Ave N Suite 3,,(917) 344-1555,,,
,,,,,,,,,,,,,,,,,,,,,,Springfield,buybuyBaby #3008,US,923-9760,Receiving,Department #3008,,22150-3431,,Virginia,6398 Springfield Plaza,,(703) 923-9797,,,
,,,,,,,,,,,,,,,,,,,,,,Downers Grove,buybuyBaby #3009,US,705-0837,Receiving,Department #3009,,60515-1003,,Illinois,1556 Butterfield Road,,(630) 705-0823,,,
,,,,,,,,,,,,,,,,,,,,,,Cherry Hill,buybuyBaby #3010,US,354-5163,Receiving,Department #3010,,8034,,New Jersey,1590 Kings Highway North,,(856) 354-5162,,,
,,,,,,,,,,,,,,,,,,,,,,Utica,buybuyBaby #3011,US,726-5831,Receiving,Department #3011,,48315-5884,,Michigan,"13361 Hall Road, Suite 102",,(586) 726-5464,,,
,,,,,,,,,,,,,,,,,,,,,,Canton,buybuyBaby #3012,US,844-1262,Receiving,Department #3012,,48187-3381,,Michigan,42595 Ford Road,,(734) 844-1108,,,
,,,,,,,,,,,,,,,,,,,,,,Columbus,buybuyBaby #3013,US,475-7098,Receiving,Department #3013,,43219-6023,,Ohio,3749 Easton Market,,(614) 475-7085,,,
,,,,,,,,,,,,,,,,,,,,,,Rochester,buybuyBaby #3014,US,427-2902,Receiving,Department #3014,,14623-3254,,New York,"790 Jefferson Rd., Suite 300",,(585) 427-2896,,,
,,,,,,,,,,,,,,,,,,,,,,Coral Springs,buybuyBaby #3015,US,575-7451,Receiving,Department #3015,,33071-6132,,Florida,2035 N. University Drive,,(954) 575-7449,,,
,,,,,,,,,,,,,,,,,,,,,,Greenwood,buybuyBaby #3016,US,885-0116,Receiving,Department #3016,,46142-4501,,Indiana,"1230 N. US 31, Suite A",,(317) 885-0043,,,
,,,,,,,,,,,,,,,,,,,,,,Schaumburg,buybuyBaby #3017,US,884-2037,Receiving,Department #3017,,60173-4442,,Illinois,580 E. Golf Road,,(847) 884-2023,,,
,,,,,,,,,,,,,,,,,,,,,,Austin,buybuyBaby #3018,US,899-9347,Receiving,Department #3018,,78745-2526,,Texas,"5400 Brodie Lane, Suite 400",,(512) 892-3852,,,
,,,,,,,,,,,,,,,,,,,,,,Augusta,buybuyBaby #3019,US,738-8517,Receiving,Department #3019,,30909,,Georgia,242  Robert C. Daniels Jr. Parkway,,(706) 738-6483,,,
,,,,,,,,,,,,,,,,,,,,,,Batavia,buybuyBaby #3020,US,406-4476,Receiving,Department #3020,,60510,,Illinois,301 North Randall Road,,(630) 406-1959,,,
,,,,,,,,,,,,,,,,,,,,,,Plano,buybuyBaby #3021,US,422-1546,Receiving,Department #3021,,75074,,Texas,2712 N. Central Expressway,,(972) 422-1542,,,
,,,,,,,,,,,,,,,,,,,,,,Chandler,buybuyBaby #3022,US,786-0175,Receiving,Department #3022,,85224,,Arizona,2640 W. Chandler Blvd.,,(480) 899-9954,,,
,,,,,,,,,,,,,,,,,,,,,,Scottsdale,buybuyBaby #3023,US,661-2145,Receiving,Department #3023,,85258,,Arizona,10080 N. 90th Street,,(480) 661-2123,,,
,,,,,,,,,,,,,,,,,,,,,,Charlotte,buybuyBaby #3024,US,553-7815,Receiving,Department #3024,,28273-6901,,North Carolina,9555 South Blvd,,(704) 554-6997,,,
,,,,,,,,,,,,,,,,,,,,,,Miami,buybuyBaby #3025,US,266-5319,Receiving,Department #3025,,33144,,Florida,"8241 West Flagler Street, Suite 100",,(305) 266-5324,,,
,,,,,,,,,,,,,,,,,,,,,,Whitehall,buybuyBaby #3026,US,264-2827,Receiving,Department #3026,,18052,,Pennsylvania,1915 Whitehall Mall,,(610) 266-5875,,,
,,,,,,,,,,,,,,,,,,,,,,Dallas,buybuyBaby #3027,US,661-8386,Receiving,Department #3027,,75240-4323,,Texas,13900 Dallas Parkway,,(972) 386-9902,,,
,,,,,,,,,,,,,,,,,,,,,,Nashua,buybuyBaby #3028,US,888-4722,Receiving,Department #3028,,03060-6600,,New Hampshire,213 Daniel Webster Highway,,(603) 888-4761,,,
,,,,,,,,,,,,,,,,,,,,,,Brandon,buybuyBaby #3029,US,661-7194,Receiving,Department #3029,,33511-2904,,Florida,11345 Causeway Blvd,,(813) 661-7169,,,
,,,,,,,,,,,,,,,,,,,,,,Durham,buybuyBaby #3030,US,489-4215,Receiving,Department #3030,,27707,,North Carolina,5430 New Hope Commons Drive,,(919) 489-4095,,,
,,,,,,,,,,,,,,,,,,,,,,Hoover,buybuyBaby #3031,US,403-3282,Receiving,Department #3031,,35244-5019,,Alabama,4351 Creekside Ave.,,(205) 988-3027,,,
,,,,,,,,,,,,,,,,,,,,,,Greenville,buybuyBaby #3032,US,286-0694,Receiving,Department #3032,,29607-4162,,South Carolina,1125 Woodruff Road Suite 600,,(864) 213-9426,,,
,,,,,,,,,,,,,,,,,,,,,,Alpharetta,buybuyBaby #3033,US,475-9936,Receiving,Department #3033,,30022-8255,,Georgia,7121 North Point Parkway,,(770) 475-0633,,,
,,,,,,,,,,,,,,,,,,,,,,San Jose,buybuyBaby #3034,US,267-2918,Receiving,Department #3034,,95118-3637,,California,5353 Almaden Expressway Suite A 100,,(408) 267-4205,,,
,,,,,,,,,,,,,,,,,,,,,,Columbia,buybuyBaby #3035,US,407-2896,Receiving,Department #3035,,29212-2232,,South Carolina,238 Harbison Boulevard,,(803) 732-3984,,,
,,,,,,,,,,,,,,,,,,,,,,Colonie,buybuyBaby #3036,US,438-1320,Receiving,Department #3036,,12205-5118,,New York,1440 Central Avenue,,(518) 489-0930,,,
,,,,,,,,,,,,,,,,,,,,,,Bridgewater,buybuyBaby #3037,US,725-1739,Receiving,Department #3037,,08807-2401,,New Jersey,711 Route 28,,(908) 725-1501,,,
,,,,,,,,,,,,,,,,,,,,,,Brookfield,buybuyBaby #3038,US,797-0379,Receiving,Department #3038,,53005,,Wisconsin,665 Main Street,,(262) 797-0116,,,
,,,,,,,,,,,,,,,,,,,,,,Frisco,buybuyBaby #3039,US,705-8415,Receiving,Department #3039,,75034-9055,,Texas,2930 Preston Rd Suite 600,,(214) 705-1156,,,
,,,,,,,,,,,,,,,,,,,,,,Crystal Lake,buybuyBaby #3040,US,459-4947,Receiving,Department #3040,,60014-8016,,Illinois,5540 Northwest Hwy,,(815) 459-4861,,,
,,,,,,,,,,,,,,,,,,,,,,Orland Park,buybuyBaby #3041,US,403-2581,Receiving,Department #3041,,60462,,Illinois,290 Orland Park Place,,(708) 403-2575,,,
,,,,,,,,,,,,,,,,,,,,,,Lexington,buybuyBaby #3042,US,264-9866,Receiving,Department #3042,,40509-2434,,Kentucky,2321 Sir Barton Way Suite 110,,(859) 263-9889,,,
,,,,,,,,,,,,,,,,,,,,,,Temecula,buybuyBaby #3043,US,296-3495,Receiving,Department #3043,,92591,,California,40438 Winchester Road,,(951) 296-0052,,,
,,,,,,,,,,,,,,,,,,,,,,Mason,buybuyBaby #3044,US,336-0323,Receiving,Department #3044,,45040-2509,,Ohio,5255 Deerfield Blvd.,,(513) 336-0104,,,
,,,,,,,,,,,,,,,,,,,,,,Santa Clarita,buybuyBaby #3045,US,259-2972,Receiving,Department #3045,,91355,,California,24267 Magic Mountain Parkway,,(661) 259-0962,,,
,,,,,,,,,,,,,,,,,,,,,,Newark,buybuyBaby #3046,US,738-5970,Receiving,Department #3046,,19702-1534,,Delaware,501 West Main St.,,(302) 894-9212,,,
,,,,,,,,,,,,,,,,,,,,,,Kentwood,buybuyBaby #3047,US,957-2613,Receiving,Department #3047,,49512-1904,,Michigan,4100 28th Street SE,,(616) 957-2580,,,
,,,,,,,,,,,,,,,,,,,,,,Fresno,buybuyBaby #3048,US,447-9182,Receiving,Department #3048,,93720-4301,,California,7458 N Blackstone Ave,,(559) 447-1594,,,
,,,,,,,,,,,,,,,,,,,,,,Pembroke Pines,buybuyBaby #3049,US,450-4923,Receiving,Department #3049,,33026-4102,,Florida,11350-11360 Pines Blvd,,(954) 450-6257,,,
,,,,,,,,,,,,,,,,,,,,,,Morrisville,buybuyBaby #3050,US,467-4520,Receiving,Department #3050,,27560,,North Carolina,3121 Market Center Drive,,(919) 467-5149,,,
,,,,,,,,,,,,,,,,,,,,,,Indianapolis,buybuyBaby #3051,US,845-0546,Receiving,Department #3051,,46250,,Indiana,4030 East 82nd Street,,(317)-845-0509,,,
,,,,,,,,,,,,,,,,,,,,,,Hurst,buybuyBaby #3052,US,595-7349,Receiving,Department #3052,,76053-4628,,Texas,1451 West Pipeline Road,,(817) 595-7361,,,
,,,,,,,,,,,,,,,,,,,,,,Tulsa,buybuyBaby #3053,US,254-0109,Receiving,Department #3053,,74133-3210,,Oklahoma,10017 East 71st Street,,(918)-249-0307,,,
,,,,,,,,,,,,,,,,,,,,,,Fort Worth,buybuyBaby #3054,US,377-0690,Receiving,Department #3054,,76109,,Texas,4648 SW Loop 820,,(817) 731-0355,,,
,,,,,,,,,,,,,,,,,,,,,,Pleasant Hill,buybuyBaby #3055,US,472-0161,Receiving,Department #3055,,94523-7309,,California,3250 Buskirk Ave Suite 300A,,(925)-9382055,,,
,,,,,,,,,,,,,,,,,,,,,,Snellville,buybuyBaby #3056,US,982-3898,Receiving,Department #3056,,30078,,Georgia,"1670 Scenic Hwy N, Suite 124",,(770) 982-3898,,,
,,,,,,,,,,,,,,,,,,,,,,Overland Park,buybuyBaby #3057,US,663-0190,Receiving,Department #3057,,66213-1121,,Kansas,12055 Metcalf Avenue,,(913) 661-2675,,,
,,,,,,,,,,,,,,,,,,,,,,Elk Grove,buybuyBaby #3058,US,691-0853,Receiving,Department #3058,,95758-5061,,California,7621 Laguna Blvd,,(916) 684-6647,,,
,,,,,,,,,,,,,,,,,,,,,,Port Chester,buybuyBaby #3059,US,937-3249,Receiving,Department #3059,,10573-4738,,New York,441 Boston Post Road,,(914) 937-3473,,,
,,,,,,,,,,,,,,,,,,,,,,Braintree,buybuyBaby #3060,US,848-0589,Receiving,Department #3060,,02184-1747,,Massachusetts,160 Granite St.,,(781) 848-1843,,,
,,,,,,,,,,,,,,,,,,,,,,Farmington Hills,buybuyBaby #3061,US,737-3351,Receiving,Department #3061,,48334-1338,,Michigan,30995 Orchard Lake Road,,(248) 737-2894,,,
,,,,,,,,,,,,,,,,,,,,,,Independence,buybuyBaby #3062,US,795-7530,Receiving,Department #3062,,64057-1568,,Missouri,20000 East Jackson Drive,,(816)795-3383,,,
,,,,,,,,,,,,,,,,,,,,,,Encinitas,buybuyBaby #3063,US,634-2572,Receiving,Department #3063,,92024,,California,1014 N El Camino Real,,(760) 634-1587,,,
,,,,,,,,,,,,,,,,,,,,,,Naperville bbBaby,buybuyBaby #3064,US,428-0778,Receiving,Department #3064,,60540-3924,,Illinois,324 S Route 59,,(630) 428-0755,,,
,,,,,,,,,,,,,,,,,,,,,,Woodbury,buybuyBaby #3065,US,731-7943,Receiving,Department #3065,,55125-7001,,Minnesota,9160 Hudson Road,,(651) 735-0125,,,
,,,,,,,,,,,,,,,,,,,,,,Sandy,buybuyBaby #3066,US,566-0352,Receiving,Department #3066,,84070-4115,,Utah,10230 South State Street,,(801) 566-0411,,,
,,,,,,,,,,,,,,,,,,,,,,Webster,buybuyBaby #3067,US,,Receiving,Department #3067,,77598-3802,,Texas,"19801 Gulf Freeway 
Suite 800",,(281) 316-4275,,,
